id,shop_name,display_name,brand_name,original_price,sale_price,image_url,rank
49,kurly,아카시아꿀 스틱 10포,바로생활,6800.0,6120,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/cdb38741-9802-4c27-b937-07ae88b6186e.jpg,49
50,kurly,알티지 오메가3 프리미엄 (30일분),뉴트리원,19900.0,10900,https://img-cf.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/shop/data/goods/1642389190582l0.jpg,50
51,kurly,유기농 황금 매실 엑기스 (광양매실) 380mL,우리농,,12000,https://img-cf.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/shop/data/goods/152895850366l0.jpg,51
52,kurly,홍삼정 에브리타임 소프트 (20일분) (+쇼핑백증정),정관장,54000.0,43200,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/7f0f103b-097c-44a3-902e-97f6f193f010.jpg,52
53,kurly,국내산 무농약 강황가루 150g (우리땅 진도에서 자란),올리,,13500,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/2a82837d-004c-4fdf-8963-e4a1f13a9720.jpg,53
54,kurly,프로핏 완전단백질 4종,셀렉스,29900.0,27900,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/77119c1c-aba1-445c-aec0-eca86579f4cc.jpg,54
55,kurly,갓비움 4종 (택1),에치와이,,4500,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/f837f1d4-4bf4-4a53-bc1b-cd9500655fbf.jpg,55
56,kurly,딸기 그대로 수제 딸기청 1kg,소소미담,15900.0,11900,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/dc79f5df-c4ed-4b09-b8da-1fee99bb7642.jpg,56
57,kurly,국산 생강가루 2종,네이처앤헬스,6580.0,5922,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/f979bb97-a781-4a75-a414-a796804b6ee0.jpg,57
58,kurly,프로틴 드링크 미니 4종 (260mL X 6개입),랩노쉬,16200.0,11900,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/3f3b455a-f097-4a92-a7e6-dbf22d95aa4e.jpg,58
59,kurly,"아카시아, 야생화, 밤꿀 미니스틱 10포 3종 (택1)",꿀마실,8000.0,6500,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/61dd1800-4eb4-4e95-816c-425ba75f333b.jpg,59
60,kurly,비타민D 5000IU (120일분),리얼닥터,25000.0,8900,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/c8795407-ba53-4f15-89b5-d164813f8bb5.jpg,60
61,kurly,스위터 아카시아 꿀 허니바틀 500g,비마스터,16500.0,14750,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/98aff99f-036f-47c1-ac4a-28ef94137c25.jpg,61
62,kurly,"애플 사이다 비니거 2종(10개입, 30개입)",티젠,7000.0,4900,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/e1ee0a22-23e1-486a-ba75-66754c777e92.jpg,62
63,kurly,진한 배도라지즙 20포,루솔,25100.0,19800,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/d52aaeb9-af51-4996-ac02-4d605bb42b78.jpg,63
64,kurly,트리플콜라겐 오렌지 14포,오니스트,37000.0,29800,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/145357c2-5df5-49aa-8cd6-a33145a885bf.jpg,64
65,kurly,알부민 진액스틱 30포 (+쇼핑백증정),김소형원방,70000.0,18900,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/28977d41-1054-4964-961f-036ea957e713.jpg,65
66,kurly,알티지 오메가-3 (90일분),나우푸드,50000.0,25000,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/bda636d0-a1f2-4d84-bbd2-a5d98795edd3.jpg,66
67,kurly,무농약 신비의 작두콩차 (콩알/깍지) 100g,하루한티,,13900,https://img-cf.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/shop/data/goods/1601002092972l0.jpg,67
